FID,MASK,X,Y,landcover,geology,flowaccum,winter_rad
357,0,739126.5333,3842415.529,3,2,1,2
358,0,755751.8744,3848484.002,1,4,1,2
359,0,725788.6239,3840904.277,1,5,1,3
360,0,729354.8799,3847887.427,8,5,1,3
361,0,730661.2426,3852382.555,4,2,1,2
362,0,745307.5625,3851453.989,1,1,1,3
363,0,726473.8894,3849340.342,0,5,1,3
364,0,746081.0674,3848836.475,0,4,3,3
365,0,747919.6728,3846404.346,4,3,1,2
366,0,751180.5311,3843319.222,4,3,1,3
367,0,745913.3659,3840133.602,3,2,1,1
368,0,739213.779,3846578.685,4,2,1,2
369,0,733469.0855,3855738.835,3,2,2,2
370,0,726022.0389,3854108.905,4,3,3,2
371,0,730931.1231,3852580.483,4,2,3,2
372,0,747373.6971,3841758.445,3,3,1,2
373,0,728699.5388,3852464.387,4,2,1,3
374,0,732707.9019,3841315.748,12,5,2,2
375,0,731155.5942,3850195.632,4,2,1,2
376,0,750611.7473,3855743.025,1,2,1,3
377,0,729280.9372,3852919.141,1,2,1,3
378,0,747673.2096,3846899.665,1,1,1,3
379,0,727450.2311,3852573.15,4,5,2,2
380,0,755590.5032,3853692.131,1,3,1,3
381,0,733665.7576,3850608.914,10,4,1,2
382,0,749954.6436,3843836.814,4,3,1,3
383,0,746051.7605,3844245.202,4,3,1,3
384,0,734050.8774,3846904.097,4,3,1,2
385,0,737538.986,3840939.726,3,5,2,2
386,0,756180.0068,3849397.287,1,1,1,3
387,0,733331.8011,3845326.848,3,5,1,3
388,0,754324.4883,3842121.037,3,3,2,2
389,0,735989.8816,3850322.926,14,1,1,3
390,0,739730.3458,3850400.965,1,1,1,3
391,0,747153.391,3846610.245,1,2,2,2
392,0,749920.1553,3847677.821,11,4,1,3
393,0,733405.5678,3847220.087,4,3,2,3
394,0,742947.7506,3855278.794,1,1,2,2
395,0,754414.3338,3853973.876,1,2,2,3
396,0,728254.537,3849042.839,8,5,2,3
397,0,730199.1414,3849954.955,4,2,1,2
398,0,749966.5155,3845564.25,3,3,1,3
399,0,745185.4551,3849712.366,10,1,1,3
400,0,740006.1295,3841202.57,6,1,1,3
401,0,748146.9184,3846503.543,4,2,2,1
402,0,752589.9756,3854190.218,1,2,1,2
403,0,731021.453,3845690.903,10,4,2,3
404,0,732641.8595,3847928.362,4,3,1,2
405,0,739898.2725,3841089.665,6,1,2,3
